bundle,type,count,error
scenario/scenario_battle000_012-spcl.unity3d,MonoBehaviour,1399,
scenario/scenario_battle000_012-spcl.unity3d,GameObject,800,
scenario/scenario_battle000_012-spcl.unity3d,Transform,779,
scenario/scenario_battle000_012-spcl.unity3d,MeshRenderer,230,
scenario/scenario_battle000_012-spcl.unity3d,MeshFilter,230,
scenario/scenario_battle000_012-spcl.unity3d,ParticleSystem,128,
scenario/scenario_battle000_012-spcl.unity3d,ParticleSystemRenderer,128,
scenario/scenario_battle000_012-spcl.unity3d,Animator,83,
scenario/scenario_battle000_012-spcl.unity3d,SpriteRenderer,59,
scenario/scenario_battle000_012-spcl.unity3d,MonoScript,52,
scenario/scenario_battle000_012-spcl.unity3d,Material,30,
scenario/scenario_battle000_012-spcl.unity3d,RectTransform,21,
scenario/scenario_battle000_012-spcl.unity3d,AnimatorController,20,
scenario/scenario_battle000_012-spcl.unity3d,BoxCollider,19,
scenario/scenario_battle000_012-spcl.unity3d,TextAsset,16,
scenario/scenario_battle000_012-spcl.unity3d,CanvasRenderer,13,
scenario/scenario_battle000_012-spcl.unity3d,PlayableDirector,7,
scenario/scenario_battle000_012-spcl.unity3d,Sprite,2,
scenario/scenario_battle000_012-spcl.unity3d,Camera,2,
scenario/scenario_battle000_012-spcl.unity3d,PreloadData,1,
scenario/scenario_battle000_012-spcl.unity3d,AssetBundle,1,
scenario/scenario_battle000_012-spcl.unity3d,RenderSettings,1,
scenario/scenario_battle000_012-spcl.unity3d,Light,1,
scenario/scenario_battle000_012-spcl.unity3d,LightmapSettings,1,
scenario/scenario_battle000_012-spcl.unity3d,NavMeshSettings,1,
scenario/scenario_battle000_012-spcl.unity3d,Canvas,1,
scenario/scenario_battle000_012-spcl.unity3d,LightingSettings,1,
scenario/scenario_battle000_012.unity3d,AnimationClip,1347,
scenario/scenario_battle000_012.unity3d,MonoBehaviour,709,
scenario/scenario_battle000_012.unity3d,GameObject,426,
scenario/scenario_battle000_012.unity3d,Transform,358,
scenario/scenario_battle000_012.unity3d,ParticleSystem,140,
scenario/scenario_battle000_012.unity3d,ParticleSystemRenderer,140,
scenario/scenario_battle000_012.unity3d,RectTransform,68,
scenario/scenario_battle000_012.unity3d,Material,64,
scenario/scenario_battle000_012.unity3d,MonoScript,64,
scenario/scenario_battle000_012.unity3d,Animator,46,
scenario/scenario_battle000_012.unity3d,CanvasRenderer,40,
scenario/scenario_battle000_012.unity3d,SpriteRenderer,39,
scenario/scenario_battle000_012.unity3d,PlayableDirector,16,
scenario/scenario_battle000_012.unity3d,AnimatorController,14,
scenario/scenario_battle000_012.unity3d,MeshRenderer,11,
scenario/scenario_battle000_012.unity3d,MeshFilter,11,
scenario/scenario_battle000_012.unity3d,BoxCollider,9,
scenario/scenario_battle000_012.unity3d,TextAsset,8,
scenario/scenario_battle000_012.unity3d,Sprite,8,
scenario/scenario_battle000_012.unity3d,CanvasGroup,3,
scenario/scenario_battle000_012.unity3d,Camera,2,
scenario/scenario_battle000_012.unity3d,PreloadData,1,
scenario/scenario_battle000_012.unity3d,AssetBundle,1,
scenario/scenario_battle000_012.unity3d,RenderSettings,1,
scenario/scenario_battle000_012.unity3d,LightmapSettings,1,
scenario/scenario_battle000_012.unity3d,NavMeshSettings,1,
scenario/scenario_battle000_012.unity3d,Canvas,1,
scenario/scenario_battle000_012.unity3d,LightingSettings,1,
scenario/scenario_battle000_019.unity3d,MonoBehaviour,448,
scenario/scenario_battle000_019.unity3d,AnimationClip,375,
scenario/scenario_battle000_019.unity3d,GameObject,156,
scenario/scenario_battle000_019.unity3d,Transform,131,
scenario/scenario_battle000_019.unity3d,MonoScript,82,
scenario/scenario_battle000_019.unity3d,Animator,44,
scenario/scenario_battle000_019.unity3d,RectTransform,25,
scenario/scenario_battle000_019.unity3d,ParticleSystem,23,
